order,batch,trial,threshold,harm_weight,a0,vmax,curve,oof_accuracy_mean,oof_accuracy_sd,oof_accuracy_worst,rescues_total,harms_total,net_rescue_total,activation_rate_mean
79,8,9,0.08,1.5,0.1,1.0,linear,0.9851866440151894,0.008087287093016276,0.9714285714285714,12,7,5,0.4629200022742908
80,8,10,0.08,1.0,0.15,0.55,linear,0.9846982435267889,0.008593806024585421,0.9714285714285714,16,13,3,0.4820356286497602
81,9,1,0.06,1.0,0.15,0.85,squared,0.9846982435267889,0.008593806024585421,0.9714285714285714,16,13,3,0.569029930584225
82,9,2,0.04,1.0,0.05,0.55,sqrt,0.9847878006100829,0.008448964148952593,0.9714285714285714,9,7,2,0.6513764144861796
83,9,3,0.06,1.0,0.05,0.7,squared,0.9847878006100829,0.008448964148952593,0.9714285714285714,9,7,2,0.5704372539563224
84,9,4,0.04,3.0,0.15,1.0,sqrt,0.9847227145324707,0.0077537299619153,0.9714285714285714,11,12,-1,0.6041330054208998
85,9,5,0.04,1.0,0.05,0.7,squared,0.9847878006100829,0.008448964148952593,0.9714285714285714,9,7,2,0.65186481497458
86,9,6,0.04,1.5,0.05,0.7,linear,0.9850320008542831,0.008028723187213503,0.9714285714285714,8,5,3,0.6346693834652904
87,9,7,0.02,3.0,0.15,0.4,linear,0.9847227145324707,0.0077537299619153,0.9714285714285714,11,12,-1,0.6997950601143873
88,9,8,0.02,2.0,0.3,0.55,linear,0.9830407625226643,0.008626107399843671,0.967032967032967,14,19,-5,0.7266658339727232
89,9,9,0.04,2.0,0.3,0.4,sqrt,0.9832849627668645,0.008353064800133947,0.967032967032967,14,18,-4,0.6299047549157816
90,9,10,0.04,3.0,0.3,0.4,squared,0.9831425551087994,0.007739499424359846,0.9692307692307692,13,21,-8,0.6133016969472025
91,10,1,0.02,3.0,0.2,0.4,sqrt,0.9841569924636171,0.008407828508992115,0.9692307692307692,11,15,-4,0.7001288174418817
92,10,2,0.02,1.0,0.05,0.7,sqrt,0.9847878006100829,0.008448964148952593,0.9714285714285714,9,7,2,0.7507595974648814
93,10,3,0.02,2.0,0.1,0.55,linear,0.98495467927383,0.008035772885126507,0.9714285714285714,10,8,2,0.7237995872504385
94,10,4,0.08,1.0,0.15,0.55,squared,0.9846982435267889,0.008593806024585421,0.9714285714285714,16,13,3,0.48252402913816067
95,10,5,0.15,1.5,0.3,0.55,linear,0.9831954056835706,0.008685681035163128,0.967032967032967,16,19,-3,0.3528812784156958
96,10,6,0.15,2.0,0.3,0.4,squared,0.9835291630110647,0.00783458533701599,0.9692307692307692,13,16,-3,0.34280715010521823
97,10,7,0.1,1.0,0.15,0.4,sqrt,0.9846982435267889,0.008593806024585421,0.9714285714285714,16,13,3,0.4364218559637419
98,10,8,0.04,3.0,0.1,1.0,linear,0.9851988795180302,0.007657928672092103,0.9714285714285714,9,6,3,0.6039509125603983
99,10,9,0.1,1.0,0.15,0.7,squared,0.9846982435267889,0.008593806024585421,0.9714285714285714,16,13,3,0.4363445343832888
100,10,10,0.02,2.0,0.05,0.85,linear,0.984877357693377,0.00801936669676177,0.9714285714285714,6,5,1,0.7186632442682312
