index,dataset,seed,arm,accuracy,macro_f1,balanced_accuracy,log_loss,rescues,harms,net_rescue,intervention_rate,beacon_lock_rate,beacon_quality_mean,vmax,a0_thrust,brake_start
87,wine,37,a0_maintenance_thrust,0.9722222222222222,0.974320987654321,0.9761904761904764,0.1296255387268395,0,0,0,0.0,0.7777777777777778,0.6760746830341636,0.2,0.0,0.1
88,wine,37,dynamic_precision_deceleration,0.9722222222222222,0.974320987654321,0.9761904761904764,0.128441839661778,0,0,0,0.0,0.7777777777777778,0.6760746830341636,0.2,0.0,0.1
89,wine,37,terminal_micro_guidance,0.9722222222222222,0.974320987654321,0.9761904761904764,0.128434940135281,0,0,0,0.0,0.7777777777777778,0.6760746830341636,0.2,0.0,0.1
90,wine,37,full_laser_homing_beacon_conduit,0.9722222222222222,0.974320987654321,0.9761904761904764,0.128434940135281,0,0,0,0.0,0.7777777777777778,0.6760746830341636,0.2,0.0,0.1
91,wine,53,adaptive_entry_combi_anchor,1.0,1.0,1.0,0.1191171287276522,0,0,0,0.0,0.7777777777777778,0.6799178093853953,0.2,0.0,0.1
92,wine,53,laser_targeting_lens,1.0,1.0,1.0,0.1187712656463613,0,0,0,0.0,0.7777777777777778,0.6799178093853953,0.2,0.0,0.1
93,wine,53,homing_vmax_acceleration,1.0,1.0,1.0,0.1190697808742574,0,0,0,0.0,0.7777777777777778,0.6799178093853953,0.2,0.0,0.1
94,wine,53,a0_maintenance_thrust,1.0,1.0,1.0,0.1190697808742574,0,0,0,0.0,0.7777777777777778,0.6799178093853953,0.2,0.0,0.1
95,wine,53,dynamic_precision_deceleration,1.0,1.0,1.0,0.1188783286429341,0,0,0,0.0,0.7777777777777778,0.6799178093853953,0.2,0.0,0.1
96,wine,53,terminal_micro_guidance,1.0,1.0,1.0,0.1188788509522268,0,0,0,0.0,0.7777777777777778,0.6799178093853953,0.2,0.0,0.1
97,wine,53,full_laser_homing_beacon_conduit,1.0,1.0,1.0,0.1186892591857206,0,0,0,0.0,0.7777777777777778,0.6799178093853953,0.2,0.0,0.1
98,wine,71,adaptive_entry_combi_anchor,0.9722222222222222,0.974320987654321,0.9761904761904764,0.1350459531785416,0,0,0,0.0,0.7777777777777778,0.6812473059426593,0.2,0.0,0.1
99,wine,71,laser_targeting_lens,0.9722222222222222,0.974320987654321,0.9761904761904764,0.1350459531785415,0,0,0,0.0,0.7777777777777778,0.6812473059426593,0.2,0.0,0.1
100,wine,71,homing_vmax_acceleration,0.9722222222222222,0.974320987654321,0.9761904761904764,0.1350459531785415,0,0,0,0.0,0.7777777777777778,0.6812473059426593,0.2,0.0,0.1
101,wine,71,a0_maintenance_thrust,0.9722222222222222,0.974320987654321,0.9761904761904764,0.1350459531785415,0,0,0,0.0,0.7777777777777778,0.6812473059426593,0.2,0.0,0.1
102,wine,71,dynamic_precision_deceleration,0.9722222222222222,0.974320987654321,0.9761904761904764,0.1350459531785416,0,0,0,0.0,0.7777777777777778,0.6812473059426593,0.2,0.0,0.1
103,wine,71,terminal_micro_guidance,0.9722222222222222,0.974320987654321,0.9761904761904764,0.1350459531785416,0,0,0,0.0,0.7777777777777778,0.6812473059426593,0.2,0.0,0.1
104,wine,71,full_laser_homing_beacon_conduit,0.9722222222222222,0.974320987654321,0.9761904761904764,0.1350459531785416,0,0,0,0.0,0.7777777777777778,0.6812473059426593,0.2,0.0,0.1
